,RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022
315,394633,315,"Glens Falls, NY",Msa,NY,192664.0,193137.0,193471.0,192861.0,191560.0,190676.0,190730.0,191801.0,192539.0,193676.0,195996.0,198821.0,202355.0,205808.0,208929.0,212196.0,214691.0,217487.0,221061.0,224673.0,227946.0,229712.0,231179.0,234845.0,239156.0,244664.0,248562.0,251934
316,395232,316,"Winchester, VA",Msa,VA,248017.0,248634.0,250227.0,251800.0,252942.0,253422.0,254361.0,255989.0,258205.0,260550.0,263202.0,265722.0,269041.0,272582.0,277187.0,281251.0,285294.0,289371.0,293879.0,298873.0,303196.0,307026.0,310778.0,315287.0,319344.0,322200.0,323942.0,326126
317,395120,317,"St. Joseph, MO",Msa,MO,122711.0,122088.0,122283.0,122414.0,122646.0,122920.0,123521.0,124530.0,125628.0,126332.0,127271.0,128197.0,129827.0,130843.0,132407.0,133856.0,135851.0,137971.0,140149.0,141937.0,143415.0,144343.0,145206.0,146199.0,147440.0,148966.0,150323.0,151922
318,394321,318,"Altoona, PA",Msa,PA,120568.0,120143.0,120792.0,121346.0,122463.0,123649.0,125089.0,125289.0,125046.0,123867.0,123754.0,124233.0,124882.0,125488.0,125829.0,126884.0,128431.0,129420.0,131122.0,133676.0,135946.0,137860.0,138804.0,140062.0,141392.0,142553.0,144086.0,145360
319,394905,319,"New Bern, NC",Msa,NC,163091.0,163636.0,164415.0,164894.0,165606.0,166295.0,167066.0,167863.0,168603.0,169907.0,170709.0,171751.0,173048.0,174892.0,177065.0,178676.0,180624.0,182626.0,185087.0,187710.0,190692.0,193252.0,196177.0,200295.0,204475.0,208651.0,211486.0,215050
320,394442,320,"Carbondale, IL",Msa,IL,102942.0,103222.0,103366.0,103519.0,103341.0,103125.0,102947.0,103060.0,103366.0,103974.0,104967.0,105829.0,107005.0,108025.0,109307.0,110195.0,110960.0,111875.0,112861.0,114024.0,114825.0,115174.0,115501.0,116474.0,117782.0,119218.0,119979.0,120720
321,394802,321,"London, KY",Msa,KY,104847.0,104935.0,105069.0,104972.0,104106.0,103243.0,102618.0,103071.0,103681.0,104487.0,105528.0,106683.0,108483.0,110033.0,111662.0,112798.0,113684.0,114485.0,115240.0,116267.0,117279.0,118296.0,119310.0,121915.0,124457.0,126954.0,127891.0,128827
322,394800,322,"Logan, ID",Msa,UT,294343.0,295316.0,296168.0,297610.0,299343.0,301624.0,303822.0,306807.0,310050.0,314748.0,318703.0,324591.0,328313.0,335771.0,341786.0,347811.0,354678.0,364305.0,376180.0,386473.0,395447.0,405635.0,414715.0,424994.0,434134.0,444823.0,455563.0,467351
323,394668,323,"Harrisonburg, VA",Msa,VA,232186.0,232753.0,233107.0,233722.0,234911.0,236198.0,237367.0,237897.0,238673.0,239338.0,241053.0,242691.0,246537.0,250138.0,253973.0,256406.0,258933.0,261455.0,263500.0,265775.0,267821.0,269868.0,271375.0,275572.0,279637.0,283521.0,284619.0,285747
324,394374,324,"Beckley, WV",Msa,WV,81730.0,81734.0,81807.0,81966.0,82247.0,82455.0,82573.0,82639.0,82629.0,83067.0,83775.0,84605.0,85228.0,85756.0,86014.0,86198.0,86416.0,86788.0,87079.0,87338.0,87736.0,88240.0,88750.0,90363.0,91817.0,93523.0,94241.0,95123
325,394824,325,"Mansfield, OH",Msa,OH,119544.0,121365.0,123010.0,123832.0,122249.0,120382.0,118818.0,119244.0,119776.0,121095.0,122880.0,124361.0,128351.0,131675.0,136274.0,137979.0,140050.0,141948.0,144230.0,146114.0,147569.0,149011.0,151217.0,153430.0,155375.0,156455.0,157990.0,159909
326,395217,326,"Weirton, OH",Msa,OH,87718.0,,87135.0,86806.0,87107.0,87329.0,87614.0,87769.0,88086.0,88488.0,89478.0,90503.0,92033.0,93273.0,94428.0,95199.0,95925.0,96734.0,97348.0,98087.0,98867.0,99678.0,100175.0,102081.0,104077.0,106207.0,106807.0,107313
327,394635,327,"Goldsboro, NC",Msa,NC,133016.0,134169.0,135124.0,136181.0,137042.0,137400.0,137739.0,138120.0,139330.0,140662.0,142163.0,144172.0,146051.0,147726.0,149360.0,151159.0,153752.0,156423.0,159114.0,161435.0,163444.0,165998.0,168863.0,171780.0,174576.0,177494.0,181115.0,184538
328,394353,328,"Augusta, ME",Msa,ME,176574.0,177769.0,179319.0,180851.0,182986.0,184778.0,186907.0,189451.0,192794.0,196839.0,200143.0,203201.0,204953.0,208906.0,211736.0,216980.0,223972.0,233437.0,242153.0,248094.0,251978.0,253314.0,252973.0,252161.0,253874.0,255742.0,261396.0,265277
